Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CIUDAD DE MÉXICO,Mexico,2020-03-15T18:20:18,22,0,0,19.34508942,-99.15325162
SINALOA,Mexico,2020-03-15T18:20:19,2,0,0,24.7967726,-107.3904539
COAHUILA,Mexico,2020-03-15T18:20:20,1,0,0,27.17197592,-101.5544302
CHIAPAS,Mexico,2020-03-15T18:20:21,1,0,0,16.49799956,-92.63970339
QUERETARO,Mexico,2020-03-15T18:20:22,6,0,0,20.78795977,-99.91410128
PUEBLA,Mexico,2020-03-15T18:20:23,6,0,0,19.12076781,-97.90565393
NUEVO LEÓN,Mexico,2020-03-15T18:20:24,5,0,0,25.67784899,-99.9785496
DURANGO,Mexico,2020-03-15T18:20:25,1,0,0,24.93613538,-104.7118333
YUCATÁN,Mexico,2020-03-15T18:20:26,1,0,0,20.81451524,-89.12400087
QUINTANA ROO,Mexico,2020-03-15T18:20:27,1,0,0,20.2273805,-87.61694631
SAN LUIS POTOSÍ,Mexico,2020-03-15T18:20:28,1,0,0,22.21180833,-100.0177798
AGUASCALIENTES,Mexico,2020-03-15T18:20:29,1,0,0,22.07242468,-102.3076925
JALISCO,Mexico,2020-03-15T18:20:30,2,0,0,20.50397443,-103.4780113
OAXACA,Mexico,2020-03-15T18:20:31,2,0,0,17.09480292,-96.85371515
